pedido_id,cliente_id,data_pedido,status
141,27,2026-07-11,pendente
142,22,2026-01-18,concluido
143,43,2026-02-12,concluido
144,43,2026-06-27,cancelado
145,24,2026-01-12,concluido
146,15,2026-02-05,concluido
147,9,2026-05-13,concluido
148,29,2026-01-14,concluido
149,29,2026-02-18,concluido
150,50,2026-03-25,concluido
151,36,2026-01-23,cancelado
152,49,2026-02-09,concluido
153,23,2026-01-14,concluido
154,7,2026-07-23,concluido
155,45,2026-07-05,concluido
156,50,2026-03-08,concluido
157,27,2026-06-26,pendente
158,10,2026-03-14,concluido
159,24,2026-01-17,cancelado
160,3,2026-06-13,concluido
161,43,2026-06-04,pendente
162,12,2026-07-25,concluido
163,3,2026-07-07,concluido
164,3,2026-07-21,concluido
165,28,2026-04-24,concluido
166,47,2026-04-03,concluido
167,21,2026-06-10,concluido
168,28,2026-03-21,concluido
169,33,2026-07-24,concluido
170,44,2026-07-15,concluido
171,25,2026-05-02,pendente
172,49,2026-01-19,concluido
173,48,2026-02-16,cancelado
174,32,2026-02-04,concluido
175,46,2026-04-03,concluido
176,46,2026-06-21,concluido
177,2,2026-03-18,pendente
178,20,2026-04-23,concluido
179,30,2026-06-17,concluido
180,4,2026-07-04,cancelado
181,46,2026-02-12,cancelado
182,41,2026-03-20,cancelado
183,38,2026-02-06,pendente
184,14,2026-07-19,concluido
185,35,2026-03-21,concluido
186,29,2026-04-16,concluido
187,46,2026-03-24,concluido
188,29,2026-02-05,concluido
189,40,2026-04-08,concluido
190,20,2026-04-01,concluido
191,32,2026-05-27,concluido
192,24,2026-07-13,concluido
193,37,2026-05-07,concluido
194,44,2026-05-04,concluido
195,22,2026-05-12,concluido
196,3,2026-02-23,concluido
197,48,2026-07-10,pendente
198,22,2026-06-04,concluido
199,4,2026-05-16,concluido
200,21,2026-04-05,concluido
201,47,2026-01-23,concluido
202,25,2026-03-06,concluido
203,16,2026-03-18,concluido
204,46,2026-04-11,concluido
205,23,2026-07-26,concluido
206,17,2026-06-16,concluido
207,7,2026-05-24,pendente
208,15,2026-01-04,concluido
209,42,2026-04-16,concluido
210,48,2026-06-28,concluido
211,32,2026-02-24,concluido
212,37,2026-05-04,concluido
213,13,2026-07-04,concluido
214,12,2026-01-24,concluido
215,26,2026-06-04,concluido
216,17,2026-04-08,concluido
217,16,2026-01-22,concluido
218,19,2026-03-20,concluido
219,48,2026-05-12,concluido
220,37,2026-01-02,cancelado
221,29,2026-01-22,concluido
222,37,2026-01-18,concluido
223,5,2026-01-14,concluido
224,31,2026-01-10,concluido
225,25,2026-04-28,concluido
226,26,2026-05-05,concluido
227,30,2026-06-24,cancelado
228,47,2026-07-04,concluido
229,39,2026-06-23,concluido
230,35,2026-02-25,concluido
231,39,2026-07-22,concluido
232,20,2026-03-02,cancelado
233,23,2026-06-22,concluido
234,49,2026-05-16,concluido
235,4,2026-05-14,concluido
236,22,2026-06-03,concluido
237,44,2026-05-20,concluido
238,47,2026-06-18,concluido
239,49,2026-04-08,pendente
240,25,2026-04-18,concluido
241,31,2026-07-27,concluido
242,37,2026-07-08,concluido
243,38,2026-05-24,concluido
244,16,2026-04-18,concluido
245,23,2026-02-05,cancelado
246,27,2026-02-27,concluido
247,14,2026-05-15,concluido
248,32,2026-01-01,cancelado
249,7,2026-01-17,concluido
250,18,2026-07-13,concluido
251,44,2026-07-28,concluido
252,25,2026-04-18,concluido
253,11,2026-01-16,concluido
254,37,2026-04-09,concluido
255,37,2026-06-02,concluido
256,20,2026-02-19,concluido
257,7,2026-04-08,concluido
258,32,2026-02-12,cancelado
259,18,2026-02-13,concluido
260,49,2026-03-04,concluido
261,29,2026-05-18,cancelado
262,1,2026-03-14,concluido
263,34,2026-02-22,concluido
264,32,2026-02-03,concluido
265,47,2026-06-16,pendente
266,1,2026-04-11,pendente
267,45,2026-02-16,concluido
268,45,2026-06-16,pendente
269,24,2026-01-19,concluido
270,14,2026-04-26,concluido
271,32,2026-02-21,concluido
272,28,2026-07-13,concluido
273,45,2026-07-18,pendente
274,43,2026-06-12,concluido
275,28,2026-01-01,concluido
276,30,2026-07-22,pendente
277,19,2026-04-03,concluido
278,14,2026-05-16,concluido
279,8,2026-01-28,concluido
280,16,2026-05-06,cancelado
281,15,2026-07-13,concluido
282,40,2026-02-15,pendente
283,7,2026-07-28,cancelado
284,8,2026-03-22,concluido
285,23,2026-07-15,pendente
286,9,2026-03-04,concluido
287,25,2026-04-20,concluido
288,19,2026-02-06,concluido
289,33,2026-06-16,concluido
290,19,2026-01-09,concluido
291,8,2026-03-25,cancelado
292,7,2026-06-27,concluido
293,8,2026-07-26,concluido
294,40,2026-02-26,concluido
295,18,2026-05-18,concluido
296,49,2026-07-14,concluido
297,21,2026-07-08,concluido
298,41,2026-07-25,concluido
299,6,2026-06-15,concluido
300,28,2026-07-07,concluido
