item_id,pedido_id,produto_id,quantidade,preco_unitario
109,45,10,1,69.90
110,46,13,3,49.90
111,46,7,1,89.90
112,46,8,1,129.90
113,46,10,3,69.90
114,47,12,3,89.90
115,48,1,2,149.90
116,48,16,1,39.90
117,48,14,2,199.90
118,49,6,3,219.00
119,49,9,3,179.00
120,49,16,2,39.90
121,49,14,3,199.90
122,50,9,2,179.00
123,51,11,1,54.90
124,51,16,2,39.90
125,51,6,2,219.00
126,51,7,2,89.90
127,52,1,3,149.90
128,52,7,1,89.90
129,52,8,3,129.90
130,53,16,2,39.90
131,53,1,1,149.90
132,53,10,1,69.90
133,53,13,3,49.90
134,54,16,3,39.90
135,54,12,2,89.90
136,54,11,2,54.90
137,55,8,1,"199,90"
138,55,7,2,89.90
139,55,4,3,259.00
140,56,7,3,89.90
141,56,16,2,39.90
142,57,4,1,259.00
143,57,10,1,69.90
144,57,12,1,89.90
145,58,9,1,179.00
146,58,2,3,39.90
147,59,1,3,149.90
148,60,6,1,219.00
149,60,9,2,179.00
150,60,4,1,259.00
151,61,5,1,189.90
152,62,14,3,199.90
153,63,15,2,149.90
154,63,10,3,69.90
155,63,14,2,199.90
156,63,2,3,39.90
157,64,9,3,179.00
158,64,3,1,79.90
159,65,1,2,149.90
160,65,15,3,149.90
161,66,10,3,69.90
162,66,10,3,69.90
163,67,7,2,89.90
164,67,4,3,259.00
165,67,8,3,129.90
166,68,2,1,39.90
167,69,15,1,149.90
168,69,15,3,149.90
169,69,10,3,69.90
170,70,15,1,149.90
171,70,2,2,39.90
172,70,11,3,54.90
173,70,9,1,179.00
174,71,9,3,179.00
175,72,15,2,149.90
176,72,6,3,219.00
177,72,14,3,199.90
178,72,16,1,39.90
179,73,4,1,259.00
180,73,11,2,54.90
181,73,16,2,39.90
182,74,15,1,149.90
183,75,1,3,149.90
184,75,15,2,149.90
185,75,2,1,39.90
186,75,12,3,89.90
187,76,7,2,89.90
188,77,4,1,259.00
189,77,8,3,129.90
190,77,6,2,219.00
191,77,1,3,149.90
192,78,4,3,259.00
193,78,5,2,189.90
194,78,10,3,69.90
195,78,9,2,179.00
196,79,13,1,49.90
197,79,5,1,189.90
198,80,9,1,179.00
199,80,10,3,69.90
200,80,10,3,69.90
201,81,16,2,39.90
202,81,11,3,54.90
203,81,13,2,49.90
204,81,11,1,54.90
205,82,14,1,199.90
206,82,11,3,54.90
207,83,5,2,189.90
208,83,2,1,39.90
209,83,11,1,54.90
210,83,15,1,149.90
211,84,5,1,189.90
212,84,16,2,39.90
213,84,11,3,54.90
214,84,13,3,49.90
215,85,11,3,54.90
216,85,16,3,39.90
217,85,2,3,39.90
218,85,3,1,79.90
219,86,14,1,199.90
220,87,6,3,219.00
221,87,10,1,69.90
222,87,2,2,39.90
223,87,2,2,39.90
224,88,14,3,199.90
225,88,6,1,219.00
226,89,16,3,39.90
227,89,5,1,189.90
228,90,1,2,149.90
229,90,10,3,69.90
230,90,6,1,219.00
231,91,9,2,179.00
232,91,10,1,69.90
233,91,13,2,49.90
234,91,4,1,259.00
235,92,10,1,69.90
236,92,13,2,49.90
237,92,1,3,149.90
238,93,10,1,69.90
239,93,12,1,89.90
240,93,7,3,89.90
241,93,9,3,179.00
242,94,2,2,39.90
243,95,3,2,79.90
244,95,11,3,54.90
245,96,9,1,179.00
246,96,9,2,179.00
247,96,10,3,69.90
248,97,5,1,189.90
249,98,3,2,79.90
250,98,1,2,149.90
251,98,4,2,259.00
252,99,12,1,89.90
253,99,8,2,129.90
254,99,1,3,149.90
255,99,11,3,54.90
256,100,14,1,199.90
257,100,5,1,189.90
258,100,2,2,39.90
259,101,13,2,49.90
260,101,12,3,89.90
261,102,14,3,199.90
262,102,4,2,259.00
263,103,7,2,89.90
264,103,15,1,149.90
265,103,12,1,89.90
266,104,13,2,49.90
267,105,7,3,89.90
268,106,8,1,129.90
269,106,7,1,89.90
270,106,7,3,89.90
271,107,5,3,189.90
272,107,1,2,149.90
273,107,5,1,189.90
274,108,1,1,149.90
275,109,1,1,149.90
276,109,9,1,179.00
277,109,5,3,189.90
278,110,15,2,149.90
279,110,4,2,259.00
280,110,8,3,129.90
281,110,2,3,39.90
282,111,2,2,39.90
283,112,15,1,149.90
284,112,3,2,79.90
285,112,5,1,189.90
286,112,5,2,189.90
287,113,13,3,49.90
288,113,10,2,69.90
289,113,14,1,199.90
290,114,14,2,199.90
291,114,8,2,129.90
292,115,4,2,259.00
293,115,14,2,199.90
294,115,9,2,179.00
295,115,5,3,189.90
296,116,14,1,199.90
297,117,11,3,54.90
298,118,10,3,69.90
299,119,5,3,189.90
300,119,16,1,39.90
301,120,4,2,259.00
302,120,8,2,129.90
303,120,1,3,149.90
304,121,6,2,219.00
305,122,1,1,149.90
306,122,5,3,189.90
307,122,13,1,49.90
308,123,7,2,89.90
309,124,10,3,69.90
310,124,11,3,54.90
311,124,3,1,79.90
312,125,3,2,79.90
313,126,14,2,199.90
314,126,7,3,89.90
315,126,4,2,259.00
316,126,14,1,199.90
317,127,10,1,69.90
318,127,8,2,129.90
319,127,2,1,39.90
320,127,7,2,89.90
321,128,11,1,54.90
322,128,1,2,149.90
323,128,14,1,199.90
324,129,3,2,79.90
325,129,2,2,39.90
326,129,1,2,149.90
327,130,13,3,49.90
328,130,14,2,199.90
329,130,4,2,259.00
330,130,1,2,149.90
331,131,3,2,79.90
332,131,4,1,259.00
333,131,14,3,199.90
334,132,11,1,54.90
335,132,11,1,54.90
336,132,3,3,79.90
337,133,12,2,89.90
338,133,5,1,189.90
339,134,5,3,189.90
340,134,3,1,79.90
341,135,11,3,54.90
342,135,11,1,54.90
343,135,15,1,149.90
344,135,16,2,39.90
345,136,12,3,89.90
346,137,2,2,39.90
347,138,15,3,149.90
348,138,2,2,39.90
349,138,7,2,89.90
350,138,16,3,39.90
351,139,3,3,79.90
352,139,6,1,219.00
353,139,8,3,129.90
354,140,12,2,89.90
355,140,10,2,69.90
356,141,11,1,54.90
357,142,9,3,179.00
358,142,5,2,189.90
359,142,3,3,79.90
360,143,5,3,189.90
361,143,3,2,79.90
362,143,13,3,49.90
363,143,11,1,54.90
364,144,14,3,199.90
365,145,7,2,89.90
366,145,16,1,39.90
367,146,4,3,259.00
368,146,2,3,39.90
369,146,11,3,54.90
370,147,6,3,219.00
371,147,6,3,219.00
372,148,15,3,149.90
373,148,10,3,69.90
374,149,16,1,39.90
375,149,12,3,89.90
376,149,15,2,149.90
377,150,6,1,219.00
378,150,5,2,189.90
379,150,2,3,39.90
380,150,16,2,39.90
381,151,10,1,69.90
382,152,14,1,199.90
383,152,8,2,129.90
384,153,12,1,89.90
385,153,13,1,49.90
386,153,12,1,89.90
387,153,1,2,149.90
388,154,5,1,189.90
389,154,10,2,69.90
390,155,1,1,149.90
391,155,1,2,149.90
392,155,7,1,89.90
393,155,14,1,199.90
394,156,2,1,39.90
395,157,3,1,79.90
396,157,16,3,39.90
397,157,1,3,149.90
398,157,8,3,129.90
399,158,8,3,129.90
400,158,14,1,199.90
401,158,3,3,79.90
402,159,13,2,49.90
403,160,1,2,149.90
404,160,3,2,79.90
405,160,8,3,129.90
406,161,5,1,189.90
407,161,12,3,89.90
408,161,11,3,54.90
409,162,6,1,219.00
410,162,3,3,79.90
411,162,15,1,149.90
412,162,10,1,69.90
413,163,10,3,69.90
414,163,13,3,49.90
415,163,16,2,39.90
416,164,12,1,89.90
417,164,11,2,54.90
418,164,4,2,259.00
419,165,11,1,54.90
420,165,16,3,39.90
421,165,16,2,39.90
422,165,9,1,179.00
423,166,10,2,69.90
424,166,4,1,259.00
425,167,14,1,199.90
426,167,15,2,149.90
427,167,15,1,149.90
428,167,12,3,89.90
429,168,13,2,49.90
430,169,5,3,189.90
431,170,3,1,79.90
432,170,12,2,89.90
433,171,15,2,149.90
434,171,12,2,89.90
435,172,13,2,49.90
436,172,9,1,179.00
437,172,4,1,259.00
438,173,4,2,259.00
439,173,9,3,179.00
440,173,15,1,149.90
441,173,10,3,69.90
442,174,15,1,149.90
443,175,3,3,79.90
444,175,10,2,69.90
445,175,6,3,219.00
446,176,8,1,129.90
447,176,7,1,89.90
448,176,8,2,129.90
449,177,15,3,149.90
450,177,5,3,189.90
451,177,3,1,79.90
452,178,14,3,199.90
453,178,3,1,79.90
454,178,11,3,54.90
455,178,3,2,79.90
456,179,6,1,219.00
457,179,14,3,199.90
458,180,10,1,69.90
459,180,6,2,219.00
460,181,3,2,79.90
461,181,7,3,89.90
462,181,9,1,179.00
463,182,6,3,219.00
464,183,2,1,39.90
465,183,3,1,79.90
466,183,9,3,179.00
467,184,16,3,39.90
468,185,8,3,129.90
469,185,13,2,49.90
470,185,15,1,149.90
471,185,2,1,39.90
472,186,11,3,54.90
473,186,5,2,189.90
474,187,5,2,189.90
475,187,4,2,259.00
476,187,8,2,129.90
477,187,4,2,259.00
478,188,10,2,69.90
479,189,11,1,54.90
480,189,6,2,219.00
481,189,15,2,149.90
482,190,15,1,149.90
483,190,7,3,89.90
484,190,12,1,89.90
485,190,2,2,39.90
486,191,1,1,149.90
487,191,14,1,199.90
488,191,9,3,179.00
489,192,13,1,49.90
490,193,3,2,79.90
491,193,15,3,149.90
492,193,9,3,179.00
493,194,13,2,49.90
494,195,13,3,49.90
495,195,2,1,39.90
496,196,15,1,149.90
497,196,5,2,189.90
498,196,11,1,54.90
499,196,13,3,49.90
500,197,16,3,39.90
501,197,10,2,69.90
502,197,1,2,149.90
503,198,1,3,149.90
504,198,16,2,39.90
505,198,8,3,129.90
506,199,5,3,189.90
507,199,8,1,129.90
508,199,4,1,259.00
509,199,1,2,149.90
510,200,14,3,199.90
511,200,16,3,39.90
512,201,11,3,54.90
513,201,16,3,39.90
514,202,12,3,89.90
515,202,9,3,179.00
516,202,16,1,39.90
517,203,10,2,69.90
518,203,7,3,89.90
519,204,9,2,179.00
520,204,4,3,259.00
521,204,13,2,49.90
522,205,2,2,39.90
523,205,3,2,79.90
524,205,15,3,149.90
525,206,9,3,179.00
526,206,9,1,179.00
527,207,8,1,129.90
528,207,8,3,129.90
529,208,16,1,39.90
530,208,5,1,189.90
531,208,6,2,219.00
532,209,11,2,54.90
533,209,2,1,39.90
534,209,8,3,129.90
535,210,14,1,199.90
536,210,2,2,39.90
537,211,1,2,149.90
538,212,15,3,149.90
539,212,16,1,39.90
540,212,15,2,149.90
541,213,15,3,149.90
542,213,9,3,179.00
543,214,7,1,89.90
544,214,13,2,49.90
545,214,11,1,54.90
546,215,16,2,39.90
547,215,8,1,129.90
548,216,11,2,54.90
549,216,1,2,149.90
550,216,12,3,89.90
551,217,10,1,69.90
552,217,13,3,49.90
553,217,10,3,69.90
554,217,4,3,259.00
555,218,5,2,189.90
556,218,5,2,189.90
557,219,7,1,89.90
558,219,3,3,79.90
559,219,15,3,149.90
560,219,12,1,89.90
561,220,5,1,189.90
562,220,11,3,54.90
563,221,3,3,79.90
564,221,15,1,149.90
565,221,15,1,149.90
566,221,14,2,199.90
567,222,1,2,149.90
568,222,9,1,179.00
569,222,7,3,89.90
570,223,2,1,39.90
571,224,5,3,189.90
572,224,14,2,199.90
573,225,3,3,79.90
574,225,5,3,189.90
575,225,12,1,89.90
576,225,6,3,219.00
577,226,1,2,149.90
578,227,13,1,49.90
579,227,8,2,129.90
580,227,12,1,89.90
581,227,9,1,179.00
582,228,1,1,149.90
583,228,7,1,89.90
584,228,4,3,259.00
585,228,2,2,39.90
586,229,2,2,39.90
587,229,15,1,149.90
588,230,10,1,69.90
589,230,11,3,54.90
590,231,10,1,69.90
591,231,8,2,129.90
592,232,14,3,199.90
593,232,16,1,39.90
594,233,14,2,199.90
595,233,5,2,189.90
596,233,13,1,49.90
597,234,10,3,69.90
598,234,5,2,189.90
599,235,13,1,49.90
600,235,9,1,179.00
601,236,3,3,79.90
602,236,7,1,89.90
603,236,9,2,179.00
604,237,7,3,89.90
605,238,7,2,89.90
606,238,10,1,69.90
607,238,7,1,89.90
608,238,4,3,259.00
609,239,13,1,49.90
610,239,11,2,54.90
611,240,9,2,179.00
612,240,16,2,39.90
613,240,4,3,259.00
614,241,12,2,89.90
615,241,14,1,199.90
616,242,9,3,179.00
617,243,5,1,189.90
618,243,11,1,54.90
619,243,13,3,49.90
620,244,16,3,39.90
621,244,16,2,39.90
622,244,6,3,219.00
623,245,6,3,219.00
624,245,2,3,39.90
625,245,2,1,39.90
626,245,2,1,39.90
627,246,5,1,189.90
628,247,16,3,39.90
629,248,1,1,149.90
630,248,9,3,179.00
631,248,10,1,69.90
632,248,14,1,199.90
633,249,7,3,89.90
634,249,9,2,179.00
635,250,13,2,49.90
636,250,8,3,129.90
637,250,8,2,129.90
638,251,3,2,79.90
639,252,1,3,149.90
640,253,4,3,259.00
641,253,2,1,39.90
642,253,7,3,89.90
643,254,9,3,179.00
644,255,1,1,149.90
645,255,5,3,189.90
646,255,13,1,49.90
647,256,11,2,54.90
648,256,5,3,189.90
649,256,3,3,79.90
650,256,12,1,89.90
651,257,13,2,49.90
652,257,1,3,149.90
653,257,9,2,179.00
654,258,14,1,199.90
655,258,13,1,49.90
656,258,10,1,69.90
657,258,3,1,79.90
658,259,11,2,54.90
659,259,4,1,259.00
660,259,1,2,149.90
661,259,15,2,149.90
662,260,6,2,219.00
663,261,4,1,259.00
664,261,3,2,79.90
665,261,3,3,79.90
666,261,11,2,54.90
667,262,8,3,129.90
668,263,5,2,189.90
669,263,10,2,69.90
670,264,9,2,179.00
671,264,10,2,69.90
672,264,3,2,79.90
673,264,9,1,179.00
674,265,15,1,149.90
675,265,5,2,189.90
676,266,11,2,54.90
677,266,11,2,54.90
678,266,5,2,189.90
679,266,11,3,54.90
680,267,13,2,49.90
681,267,10,3,69.90
682,268,11,2,54.90
683,268,9,2,179.00
684,269,1,3,149.90
685,269,15,3,149.90
686,270,14,3,199.90
687,271,9,3,179.00
688,271,5,3,189.90
689,272,16,3,39.90
690,272,13,3,49.90
691,272,14,3,199.90
692,272,2,2,39.90
693,273,4,1,259.00
694,274,13,2,49.90
695,275,8,3,129.90
696,275,8,2,129.90
697,275,12,2,89.90
698,276,12,1,89.90
699,276,16,1,39.90
700,277,12,2,89.90
701,277,11,2,54.90
702,278,4,2,259.00
703,278,15,2,149.90
704,278,3,2,79.90
705,278,2,3,39.90
706,279,6,3,219.00
707,280,11,3,54.90
708,280,14,2,199.90
709,281,14,2,199.90
710,281,1,3,149.90
711,282,13,1,49.90
712,282,7,1,89.90
713,282,9,3,179.00
714,282,3,3,79.90
715,283,12,2,89.90
716,283,7,2,89.90
717,284,13,3,49.90
718,284,13,3,49.90
719,284,4,2,259.00
720,285,10,3,69.90
721,285,3,3,79.90
722,286,4,1,259.00
723,286,12,3,89.90
724,286,5,3,189.90
725,287,14,1,199.90
726,287,16,3,39.90
727,287,6,3,219.00
728,287,6,2,219.00
729,288,2,2,39.90
730,288,1,2,149.90
731,288,5,1,189.90
732,288,13,3,49.90
733,289,14,3,199.90
734,289,15,2,149.90
735,289,6,1,219.00
736,289,1,1,149.90
737,290,6,2,219.00
738,290,16,3,39.90
739,290,4,3,259.00
740,291,2,3,39.90
741,291,15,3,149.90
742,291,7,2,89.90
743,292,2,2,39.90
744,292,9,2,179.00
745,292,3,2,79.90
746,293,12,3,89.90
747,293,14,1,199.90
748,294,2,3,39.90
749,294,12,3,89.90
750,295,10,2,69.90
751,295,9,3,179.00
752,295,4,1,259.00
753,296,5,3,189.90
754,296,5,1,189.90
755,296,5,3,189.90
756,297,5,3,189.90
757,297,9,3,179.00
758,297,14,2,199.90
759,297,15,1,149.90
760,298,9,3,179.00
761,298,12,2,89.90
762,298,16,2,39.90
763,298,1,3,149.90
764,299,13,1,49.90
765,300,11,2,54.90
766,300,11,3,54.90
767,300,5,3,189.90
